id,url,title,seendate,domain,language,sourcecountry,
75,https://www.kompas.id/baca/english/2024/05/16/en-operasi-pengangkatan-peluru-berhasil-pm-slovakia-lolos-dari-masa-kritis,"Bullet Removal Operation Successful, Slovak PM Escapes Critical Period",20240516T074500Z,kompas.id,English,Indonesia,
76,https://www.abc.net.au/news/2024-05-15/slovakia-prime-minister-robert-fico-shot/103853772,"Slovakia PM Robert Fico shot outside government meeting, official says his condition is 'life-threatening'",20240515T144500Z,abc.net.au,English,Australia,
77,https://www.abc.net.au/listen/programs/news-specials/slovakia-s-prime-minister-shot-in-attempted-assassination/103854424,Slovakia prime minister shot in attempted assassination,20240516T000000Z,abc.net.au,English,Australia,
78,https://www.dailytelegraph.com.au/news/world/slovakia-prime-minister-shot-proputin-leader-robert-fico-fighting-for-life-after-assassination-attempt/news-story/2d29ab4d7908338a4eee5b53e51a032b,Slovakia Prime Minister shot: Pro-Putin leader Robert Fico fighting for life after assassination attempt,20240515T170000Z,dailytelegraph.com.au,English,Australia,
79,https://www.theaustralian.com.au/news/latest-news/slovakia-pm-suffers-lifethreatening-wounds-in-assassination-attempt-govt/news-story/7820883f9d7168d96bbc1e4437453a1c,Slovak PM suffers life-threatening wounds in assassination attempt,20240515T160000Z,theaustralian.com.au,English,Australia,
80,https://www.3aw.com.au/slovak-prime-minister-shot-in-shock-assassination-attempt/,Slovak Prime Minister shot in shock assassination attempt,20240516T013000Z,3aw.com.au,English,Australia,
81,https://www.nzherald.co.nz/world/slovakias-prime-minister-robert-fico-expected-to-survive-assassination-attempt-deputy-says/JQLE4DERLNASPIJ5B2K2MVWVOI/,"Slovakia prime minister Robert Fico expected to survive assassination attempt, deputy says",20240516T091500Z,nzherald.co.nz,English,New Zealand,
82,https://www.odt.co.nz/news/world/slovak-pm-shot-multiple-times-assassination-attempt,Slovak PM shot multiple times in assassination attempt,20240515T201500Z,odt.co.nz,English,New Zealand,
83,https://www.rnz.co.nz/news/world/516920/slovak-pm-fico-in-life-threatening-condition-after-being-shot-government-says,"Slovak PM Fico in life-threatening condition after being shot, government says",20240515T184500Z,rnz.co.nz,English,New Zealand,
84,https://www.news24.com/news24/world/news/slovak-pm-fico-no-longer-in-life-threatening-condition-after-being-shot-minister-says-20240516,"Slovak PM Fico no longer in life-threatening condition after being shot, minister says",20240516T061500Z,news24.com,English,South Africa,
85,https://www.myjoyonline.com/slovakia-pm-robert-fico-not-in-life-threatening-condition-deputy-pm/,Slovakia PM Robert Fico not in life-threatening condition - Deputy PM,20240516T043000Z,myjoyonline.com,English,Ghana,
86,https://www.graphic.com.gh/international/international-news/slovak-pm-not-in-life-threatening-condition-deputy-pm.html,Slovakia PM Robert Fico not in life-threatening condition - deputy PM,20240516T111500Z,graphic.com.gh,English,Ghana,
87,https://www.the-star.co.ke/news/world/2024-05-16-slovakia-pm-robert-fico-not-in-life-threatening-condition-deputy-pm/,Slovakia PM Robert Fico not in life-threatening condition,20240516T044500Z,the-star.co.ke,English,Kenya,
88,https://www.theglobeandmail.com/world/article-slovakias-prime-minister-is-expected-to-survive-assassination-attempt/,"Slovakia prime minister is expected to survive assassination attempt, deputy says",20240516T064500Z,theglobeandmail.com,English,Canada,
89,https://www.theguardian.com/world/2024/may/15/robert-fico-shooting-slovakia-prime-minister,Robert Fico: Slovakia PM in critical condition after assassination attempt,20240515T160000Z,theguardian.com,English,United Kingdom,
90,https://www.reuters.com/world/europe/slovak-pm-fico-shot-after-government-meeting-2024-05-15/,"Slovak PM Fico shot after government meeting, hospitalized",20240515T135000Z,reuters.com,English,United Kingdom,
